"
                                                Space Name
                                            ","
                                                Square Feet
                                            ","
                                                Amount
                                            "
"
                                                    Classroom 1
                                                ","
                                                    800 
                                                ","
                                                    $50,000
                                                "
"
                                                    Classroom 2
                                                ","
                                                    720
                                                ","
                                                    $40,000
                                                "
"
                                                    Classroom 3
                                                ","
                                                    620
                                                ","
                                                    $40,000
                                                "
"
                                                    Lecture Room
                                                ","
                                                    680
                                                ","
                                                    $40,000
                                                "
"
                                                    Classroom 4
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 5
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 6
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 7
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 8
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 9
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 10
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 11
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 12
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 13
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 14
                                                ","
                                                    780
                                                ","
                                                    $25,000
                                                "
"
                                                    Classroom 15
                                                ","
                                                    860
                                                ","
                                                    $25,000
                                                "
