"
                            Benefits and Levels of Support
                        ","
                            $500,000
                        ","
                            $250,000
                        ","
                            $125,000
                        ","
                            $75,000
                        ","
                            $50,000
                        ","
                            $25,000
                        "
"
                            Top sponsors for main center events
                        ","
                            ",,,,,
"
                            Branding on selected space(s)
                        ","
                            ","
                            ",,,,
"
                            Press release announcement
                        ","
                            ","
                            ","
                            ",,,
"
                            Social media and newsletters listing
                        ","
                            ","
                            ","
                            ","
                            ",,
"
                            Co-host of the center’s training, social, and networking events
                        ","
                            ","
                            ","
                            ","
                            ","
                            ",
"
                            Donor commemorative wall branding
                        ","
                            ","
                            ","
                            ","
                            ","
                            ",
"
                            Company logo with link on the center’s webpage
                        ","
                            ","
                            ","
                            ","
                            ","
                            ",Name Only
"
                            VIP service at special events
                        ","
                            ","
                            ","
                            ","
                            ","
                            ","
                            "
"
                            Preferred employer partner wall
                        ","
                            ","
                            ","
                            ","
                            ","
                            ","
                            "
