Award,Name,Actions
"
    $1,000 must reapply for each semester.
  ","
    ",
"
    $875 must reapply for each semester
  ","
    ",
"
    $500 must reapply for each semester
  ","
    ",
"
    $750 Must reapply for each semester
  ","
    ",
"
    $600 Must reapply for each semester
  ","
    ",
"
    $200 Must reapply for each semester
  ","
    ",
"
    $1,185 must reapply each semester
  ","
    ",
"
    Full Tuition and Books for up to six consecutive semesters
  ","
    
  ",
"
    Full Tuition and Books for up to six consecutive semesters
  ","
    
  ",
"
    $175
  ","
    Ended
  ",
"
    $500
  ","
    Ended
  ",
"
    $250 
  ","
    Ended
  ",
"
    $1000
  ","
    Ended
  ",
"
    $500
  ","
    Ended
  ",
"
    $500
  ","
    Ended
  ",
"
    $250
  ","
    Ended
  ",
"
    $250 
  ","
    Ended
  ",
"
    $750
  ","
    Ended
  ",
"
    $300 
  ","
    Ended
  ",
"
    $1,200 
  ","
    Ended
  ",
"
    $750 
  ","
    Ended
  ",
"
    $700 
  ","
    Ended
  ",
"
    $500 
  ","
    Ended
  ",
"
    $300 Fall/Spring
  ","
    Ended
  ",
"
    $875
  ","
    Ended
  ",
"
    $235 Fall/Spring
  ","
    Ended
  ",
"
    $580 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $300 Fall/Spring
  ","
    Ended
  ",
"
    $300 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $300 Fall/Spring
  ","
    Ended
  ",
"
    $450 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $150 Fall/Spring
  ","
    Ended
  ",
"
    $395 Fall/Spring
  ","
    Ended
  ",
"
    $150 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $300 Fall/Spring
  ","
    Ended
  ",
"
    $325 Fall only
  ","
    Ended
  ",
"
    $125 Fall/Spring
  ","
    Ended
  ",
"
    $250 Fall/Spring
  ","
    Ended
  ",
"
    $150 Fall/Spring
  ","
    Ended
  ",
"
    $500 Must reapply for each semester
  ","
    Ended
  ",
"
    $500 Spring only
  ","
    Ended
  ",
"
    $125 Summer only
  ","
    Ended
  ",
"
    $1,000 Summer only
  ","
    Ended
  ",
