Job Title,Annual Mean Wage in Texas
,
Carpenters," $38,000"
Construction laborers," $30,400"
"Painters, construction and maintenance"," $35,040"
"Plumbers, pipe fitters and steamfitters"," $46,100"
Construction and building inspectors," $55,550"
Construction managers," $96,870"
Construction and extraction occupations," $42,590"
First-line supervisors of construction trades and extraction workers," $68,740"
Operating engineers and other construction equipment operators," $40,090"
"Helpers, construction trades, all other"," $33,030"
"Construction and related workers, all other"," $35,230"
