Dallas County Community College District,University of Texas
,
CHEM 1411: General Chemistry I,CH 301+104M: Principles of Chemistry I + Introduction to Chemical Practice I
CHEM 1412: General Chemistry II,CH 302+104N: Principles of Chemistry II + Introduction to Chemical Practice II
ECON 2301: Principles of Macroeconomics,ECO 304L: Introduction to Macroeconomics
 ECON 2302: Principles of Microeconomics,ECO 304K: Introduction to Microeconomics
ENGL 1301: Composition I,RHE 306: Rhetoric & Writing
ENGL 1302: Composition II,RHE 309K: Topics in Writing
BIOL 2401: Anatomy & Physiology I,BIO 416K: Physiology & Functional Anatomy I
BIOL 2402: Anatomy & Physiology II,BIO 416L: Physiology & Functional Anatomy II
