JTC,Job Title,FLSA
T10," 
               ",E
CZL,"
               ",E
TAL,"
               ",E
CQ1,"
               ",E
CTS,"
               ",E
CQX,"
               ",E
TAP,"
               ",E
CU6,"
               ",E
CT5,"
               ",E
CPW,"
               ",E
CQ3,"
               ",E
TV2,"
               ",E
TU1,"
               ",E
TT4,"
               ",E
TXL,"
               ",E
TAF,"
               ",E
CTK,"
               ",E
CTM,"
               ",E
TAO,"
               ",E
CCY,"
               ",E
DAF,"
               ",E
CO3,"
               ",E
DLR,"
               ",E
TAR,"
               ",E
TMB,"
               ",E
CDS,"
               ",E
CQP,"
               ",N
CXY,"
               ",N
