Description,JTC,Range,"Hourly 
               ",Rate
 Training Rate for Adjunct Instructors,,,$19.37,
" 
               ",,,,
"
               ",S01,  H07,$15.00,
"
               ",S12,H07  ,$15.00,
"
               ",S11,H07  ,$15.00,
"
                  ",S21,"H07 
               ",$15.00,
,,,,
" 
               ",S15,H07,$15.00,
"
               ",S41,H07,$15.00,
"
               ",H95,HB4,$20.00,
   ,,,,
"
               ",H94,HB2,$21.31,
"
               ",HB2,H24,$15.00 (Hourly rate varies by grant requirement),
"
               ",H27,H72 ,$21.61,
"
               ",H28,H88,$24.68,
"
               ",H29,H93,$30.86,
" 
               ",H98,H69,$69.00,
"
               ",H96,H52,$24.30,
"
               ",H35, H51  ,$15.00,
"
               ",H36,  H56  ,$17.28,
"
               ",H33,H24,$15.00,
"
               ",H34, H43 ,$18.00,
"
               ",H80, H76 ,$41.93,
"
               ",H56, H97  ,$19.37,
"
               ",H57,H73   ,$22.79,
"
               ",H58, H15,$26.20,
"
               ",H59,H97  ,$19.37,
"
               ",H60,H73  ,$22.79,
"
               ",HB4,HB3,$33.00,
"
               ",H61,H15,$26.20,
"
               ", H71 ,H30  , $15.38,
"
               ", H93 ,HB1  , $18.81,
"
               ",H39,H24,$15.00,
"
               ",H13,H65,$17.00,
"
               ",H75,H97,$19.37,
"
               ",H15,H23,$15.00,
" 
               ",H67,H24,$15.00,
"
               ",HG2,H74,$27.09,
"
               ",HG3,H94,$32.73,
"
               ",HG4,HG14,$38.38,
"
               ",H85,HA2,$25.03,
"
               ",H86,HA4  ,$31.28,
"
               ",H87, HA5  ,$38.47,
"
               ",H83,HA2   ,$25.03,
"
               ",H84,HA3   ,$28.15,
