Services / Resources,Contact Number
Cedar Valley Police Department,972-860-4290
"Police Emergency, Fire, EMS Services ",Dial 911 
College Health Services,972-860-8277 
Counseling Services ,972-860-8119
"Lancaster Police Department 1650 N. Dallas Avenue Lancaster, TX 75134",972-218-2700
"DeSoto Police Department 714 E Beltline Rd DeSoto, TX 75115",469-658-3000
"Hutchins Police Department 205 W. Hickman St, Hutchins, TX 75141",972-225-2224
"Wilmer Police Department 219 E. Beltline Rd, Wilmer, TX 75112",972-441-3574
"Dallas County Sheriff's Department 133 N. Riverfront Blvd Dallas, TX 75207 ",214-653-3450
"Dallas Police Department 1400 Botham Jean Blvd. Dallas, TX 75215",214-671-3001
