Legal,Contact Number
Catholic Charites (Dallas) ,214-520-6590
Catholic Charities (Immigration and Legal Services),214-634-7182
Catholic Charities (Maternity),214-526-2774
Catholic Charites (Refugee and Empowerment Services,214-553-9909
City Square Law Center (Civil Family Probate), 214 827-1000
Collin County Protective Orders/D. A,972-548-4323
Dallas Bar Association (Attorney Referral),214-220-7444
Dallas Bar Association Legal Line,214-220-7476 
Dallas County Victim Coordinator - Frank Crowley Criminal Courts,214-653-3838
Dallas County Protective Orders/D. A,214-653-3528
Denton County Protective Orders/D. A,940-349-2600
Family Violence Legal Line,800-374-4673
Legal Aid of Northwest Texas (Dallas Co.),214-748-1234
Legal Aid of Northwest Texas (Denton Co.),940-383-1406
"Mosaic Family Services (Dallas, legal services including immigration)",214-821-5393
