Distribution Area / Position,Copies
EOC Reference,1
Chancellor,1
Emergency Management Coordinator,1
Chief of Police,1
General Counsel,1
Executive Vice Chancellor,1
Chief of Staff,1
Chief Financial Officer,1
Associate Vice Chancellor of Ed Policy,1
Associate Chief of Procurement & Strategic Sourcing,1
Assoc. Dist. Dir. I.T./Network Services,1
Senior Director of Facilities Mgt. & Operations,1
College President – Brookhaven,1
College President – Cedar Valley,1
College President – Eastfield,1
College President – El Centro,1
College President – Mountain View,1
College President – North Lake,1
College President – Richland,1
